transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,payment_status,transaction_date_parsed,transaction_year,transaction_month,transaction_month_name,transaction_quarter,email_masked,phone_masked,data_source,category_standard,standard_price,revenue
1,642,Troy Mitchell,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06 00:00:00,3,Upi,0.1,successful,2025-12-06,2025,12,December,Q4,401f91ea12377426d55aed0100347866f6fc9950c0eadc16fd5acfaee4f544a3,XXXXXX6968,retail_data1,Home Appliances,15000,40500.0
2,881,Sarah Guerrero,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21 00:00:00,5,Card,0.35,successful,2025-07-21,2025,7,July,Q3,0e4bc29fc25e4be405a141aa4fc02d87d7eaf03f6fcb643cdb5bdcdb4a6b9c52,XXXXXX8911,retail_data1,Electronics,70000,227500.0
3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11 00:00:00,2,Upi,0.05,successful,2025-07-11,2025,7,July,Q3,0cd587225da3fc32e0741adab3f42bee574cfcee5d39ac792b42be6d7f3644ac,XXXXXX1565,retail_data1,Home Appliances,65000,123500.0
4,794,Gerald Cooper,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06 00:00:00,2,Upi,0.05,successful,2025-10-06,2025,10,October,Q4,589579ac18062fe8eef8c71291aea4c67184d271f9048cfcd6eedce3fbab6505,XXXXXX4201,retail_data1,Furniture,80000,152000.0
5,864,Cameron Black,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12 00:00:00,1,Cash,0.05,successful,2025-12-12,2025,12,December,Q4,611b9b453561fd7262f13e4ad2083f7cfd9c63a5ea9c1f0d2ba1d081d1404ef5,XXXXXX9477,retail_data1,Home Appliances,15000,14250.0
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25 00:00:00,5,Netbanking,0.35,successful,2025-07-25,2025,7,July,Q3,8122e36608fd7e173a739585961d7c310790654c9a14b85111fcb4f2e4ef1bc8,XXXXXX2717,retail_data1,Electronics,250000,812500.0
7,142,Charles Brown,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03 00:00:00,2,Upi,0.05,successful,2026-03-03,2026,3,March,Q1,8e251eb1abcebb346bc299b77b43a042ecf0c2a5883a14e09f062bf5e0e71dbe,XXXXXX6322,retail_data1,Electronics,250000,475000.0
8,457,Cathy Harris,102,70000.0,Phone,Electronics,online,Hyderabad,02-19-2026,1,Card,0.05,successful,2026-02-19,2026,2,February,Q1,95519f7f76d366ebae819229a28975b95e96d8c14416c05c3c5eff29bcd320bd,XXXXXX7576,retail_data1,Electronics,70000,66500.0
9,749,Linda Lara,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30 00:00:00,3,Card,0.3,successful,2025-08-30,2025,8,August,Q3,f6900336264fd54c3c6125dc900d40d62e074c1c107f269aaeb8fb8f4c6f288c,XXXXXX4201,retail_data1,Home Appliances,45000,94500.0
10,146,Jose Thomas,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16 00:00:00,2,Upi,0.4,successful,2025-12-16,2025,12,December,Q4,2c8c303929615bd2652ce610b9b3ffd8e5aedcf4b6eb1108995cc52dd0d5b84d,XXXXXX9963,retail_data1,Electronics,70000,84000.0
